Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Blur meeting action item for-low-bandwidth,Auto/Generated,,Blur meeting action item for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item in real-time,Auto/Generated,,Blur meeting action item in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item on-recording,Auto/Generated,,Blur meeting action item on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-auto-archive,Auto/Generated,,Blur meeting action item with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-clip-optimization,Auto/Generated,,Blur meeting action item with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-confidence-score,Auto/Generated,,Blur meeting action item with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-high-precision,Auto/Generated,,Blur meeting action item with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-language-detection,Auto/Generated,,Blur meeting action item with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-low-latency,Auto/Generated,,Blur meeting action item with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-privacy-preserving-on-device,Auto/Generated,,Blur meeting action item with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-source-link,Auto/Generated,,Blur meeting action item with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-speaker-attribution,Auto/Generated,,Blur meeting action item with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-translation,Auto/Generated,,Blur meeting action item with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur meeting action item with-visual-cue,Auto/Generated,,Blur meeting action item with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur participant list as-closed-captions,Auto/Generated,,Blur participant list as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur participant list as-text-snippet,Auto/Generated,,Blur participant list as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur participant list with-language-detection,Auto/Generated,,Blur participant list with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur poll result as-closed-captions,Auto/Generated,,Blur poll result as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur poll result as-text-snippet,Auto/Generated,,Blur poll result as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur poll result with-language-detection,Auto/Generated,,Blur poll result with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur reaction as-closed-captions,Auto/Generated,,Blur reaction as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur reaction as-text-snippet,Auto/Generated,,Blur reaction as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur reaction with-language-detection,Auto/Generated,,Blur reaction with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur screen-share as-closed-captions,Auto/Generated,,Blur screen-share as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur screen-share as-text-snippet,Auto/Generated,,Blur screen-share as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur screen-share with-language-detection,Auto/Generated,,Blur screen-share with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur sensitive info as-closed-captions,Auto/Generated,,Blur sensitive info as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur sensitive info as-text-snippet,Auto/Generated,,Blur sensitive info as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur sensitive info with-language-detection,Auto/Generated,,Blur sensitive info with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur slide as-closed-captions,Auto/Generated,,Blur slide as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur slide as-text-snippet,Auto/Generated,,Blur slide as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur slide with-language-detection,Auto/Generated,,Blur slide with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur speaker as-closed-captions,Auto/Generated,,Blur speaker as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur speaker as-text-snippet,Auto/Generated,,Blur speaker as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur speaker with-language-detection,Auto/Generated,,Blur speaker with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur sponsor logo as-closed-captions,Auto/Generated,,Blur sponsor logo as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur sponsor logo as-text-snippet,Auto/Generated,,Blur sponsor logo as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur sponsor logo with-language-detection,Auto/Generated,,Blur sponsor logo with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur timestamp as-closed-captions,Auto/Generated,,Blur timestamp as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur timestamp as-text-snippet,Auto/Generated,,Blur timestamp as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur timestamp with-language-detection,Auto/Generated,,Blur timestamp with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur transcript segment as-closed-captions,Auto/Generated,,Blur transcript segment as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur transcript segment as-text-snippet,Auto/Generated,,Blur transcript segment as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur transcript segment with-language-detection,Auto/Generated,,Blur transcript segment with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur whiteboard as-closed-captions,Auto/Generated,,Blur whiteboard as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Blur whiteboard as-text-snippet,Auto/Generated,,Blur whiteboard as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Blur whiteboard with-language-detection,Auto/Generated,,Blur whiteboard with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Caption language auto-detection,Speech → Text & Text → Speech,,Caption language auto-detection — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect Q&A entry as-closed-captions,Auto/Generated,,Detect Q&A entry as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect Q&A entry as-text-snippet,Auto/Generated,,Detect Q&A entry as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect Q&A entry with-language-detection,Auto/Generated,,Detect Q&A entry with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect brand logo as-closed-captions,Auto/Generated,,Detect brand logo as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect brand logo as-text-snippet,Auto/Generated,,Detect brand logo as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect brand logo with-language-detection,Auto/Generated,,Detect brand logo with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect caption as-closed-captions,Auto/Generated,,Detect caption as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption as-emoji,Auto/Generated,,Detect caption as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption as-searchable-metadata,Auto/Generated,,Detect caption as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption as-text-snippet,Auto/Generated,,Detect caption as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption as-timestamped-clip,Auto/Generated,,Detect caption as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption for-low-bandwidth,Auto/Generated,,Detect caption for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption in real-time,Auto/Generated,,Detect caption in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption on-recording,Auto/Generated,,Detect caption on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-auto-archive,Auto/Generated,,Detect caption with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-clip-optimization,Auto/Generated,,Detect caption with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-confidence-score,Auto/Generated,,Detect caption with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-high-precision,Auto/Generated,,Detect caption with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-language-detection,Auto/Generated,,Detect caption with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-low-latency,Auto/Generated,,Detect caption with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-privacy-preserving-on-device,Auto/Generated,,Detect caption with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-source-link,Auto/Generated,,Detect caption with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-speaker-attribution,Auto/Generated,,Detect caption with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-translation,Auto/Generated,,Detect caption with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect caption with-visual-cue,Auto/Generated,,Detect caption with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect chat message as-closed-captions,Auto/Generated,,Detect chat message as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect chat message as-text-snippet,Auto/Generated,,Detect chat message as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect chat message with-language-detection,Auto/Generated,,Detect chat message with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect emotion as-closed-captions,Auto/Generated,,Detect emotion as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect emotion as-text-snippet,Auto/Generated,,Detect emotion as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect emotion with-language-detection,Auto/Generated,,Detect emotion with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item as-closed-captions,Auto/Generated,,Detect meeting action item as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect meeting action item as-emoji,Auto/Generated,,Detect meeting action item as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item as-searchable-metadata,Auto/Generated,,Detect meeting action item as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item as-text-snippet,Auto/Generated,,Detect meeting action item as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item as-timestamped-clip,Auto/Generated,,Detect meeting action item as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item for-low-bandwidth,Auto/Generated,,Detect meeting action item for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item in real-time,Auto/Generated,,Detect meeting action item in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item on-recording,Auto/Generated,,Detect meeting action item on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-auto-archive,Auto/Generated,,Detect meeting action item with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-clip-optimization,Auto/Generated,,Detect meeting action item with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-confidence-score,Auto/Generated,,Detect meeting action item with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-high-precision,Auto/Generated,,Detect meeting action item with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-language-detection,Auto/Generated,,Detect meeting action item with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-low-latency,Auto/Generated,,Detect meeting action item with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-privacy-preserving-on-device,Auto/Generated,,Detect meeting action item with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-source-link,Auto/Generated,,Detect meeting action item with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-speaker-attribution,Auto/Generated,,Detect meeting action item with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-translation,Auto/Generated,,Detect meeting action item with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect meeting action item with-visual-cue,Auto/Generated,,Detect meeting action item with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect participant list as-closed-captions,Auto/Generated,,Detect participant list as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect participant list as-text-snippet,Auto/Generated,,Detect participant list as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect participant list with-language-detection,Auto/Generated,,Detect participant list with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect poll result as-closed-captions,Auto/Generated,,Detect poll result as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect poll result as-text-snippet,Auto/Generated,,Detect poll result as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect poll result with-language-detection,Auto/Generated,,Detect poll result with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect reaction as-closed-captions,Auto/Generated,,Detect reaction as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect reaction as-text-snippet,Auto/Generated,,Detect reaction as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect reaction with-language-detection,Auto/Generated,,Detect reaction with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect screen-share as-closed-captions,Auto/Generated,,Detect screen-share as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect screen-share as-text-snippet,Auto/Generated,,Detect screen-share as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect screen-share with-language-detection,Auto/Generated,,Detect screen-share with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect sensitive info as-closed-captions,Auto/Generated,,Detect sensitive info as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect sensitive info as-text-snippet,Auto/Generated,,Detect sensitive info as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect sensitive info with-language-detection,Auto/Generated,,Detect sensitive info with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect slide as-closed-captions,Auto/Generated,,Detect slide as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect slide as-text-snippet,Auto/Generated,,Detect slide as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect slide with-language-detection,Auto/Generated,,Detect slide with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect speaker as-closed-captions,Auto/Generated,,Detect speaker as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect speaker as-text-snippet,Auto/Generated,,Detect speaker as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect speaker with-language-detection,Auto/Generated,,Detect speaker with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
